index,type,kor,English,Japanese,ChineseSimplified,ChineseTraditional,Russian,French,Spanish,Vietnamese
int,int,string,string,string,string,string,string,string,string,string
0,0,모두 태워버려라! 화염의 기둥!,Burn it all down! Pillar of Flame!,全て焼き尽くせ！炎の柱！,烧光一切！烈焰之柱！,燒光一切！烈焰之柱！,Сожгите всё дотла! Столп Пламени!,Brûlez tout ! Pilier de Flammes !,¡Quémalo todo! ¡Pilar de llamas!,Đốt cháy tất cả! Cột lửa!
1,0,달콤하게 터질 거야! 핑크 블래스트!,It's going to burst sweetly! Pink Blast!,甘く弾けるぞ！ピンクブラスト！,它要甜美地爆开了！粉红爆炸！,它要甜美地爆開了！粉紅爆炸！,Сейчас произойдёт сладкий взрыв! Розовый взрыв!,Ça va exploser de façon délicieuse ! Explosion rose !,¡Va a estallar dulcemente! ¡Explosión rosa!,Nó sắp nổ tung thật ngọt ngào! Vụ nổ màu hồng!
2,0,하늘의 심판을 받아라!,Receive the judgment of heaven!,天の裁きを受けよ！,接受上天的审判吧！,接受上天的審判吧！,Примите суд небесный!,Reçois le jugement du ciel !,¡Reciban el juicio del cielo!,Hãy đón nhận sự phán xét của trời!
3,0,쏟아지는 별빛 아래 소멸하라!,Perish beneath the pouring starlight!,降り注ぐ星明かりの下で滅びよ！,在倾盆星光下消亡吧！,在傾盆星光下消亡吧！,Погибните под льющимся звездным светом!,Périr sous la pluie d'étoiles !,¡Perece bajo la luz de las estrellas que cae!,Hãy chết dưới ánh sao rực rỡ!
4,0,어떠한 비난도 내겐 닿지 않아.,No criticism reaches me.,私にはどんな批判も届かない。,任何批评我都听不到。,任何批評我都聽不到。,До меня не доходят никакие критические замечания.,Je ne reçois aucune critique.,Ninguna crítica me llega.,Tôi không nhận được bất kỳ lời chỉ trích nào.
5,0,내 노래를 들어!,Listen to my song!,私の歌を聴いてください！,听听我的歌！,聽聽我的歌！,Послушайте мою песню!,Écoutez ma chanson !,¡Escucha mi canción!,Hãy nghe bài hát của tôi!
6,0,"자, 레드카펫 깔아줘~!","Alright, roll out the red carpet!",さあ、レッドカーペットを敷きましょう！,好了，铺开红毯吧！,好了，鋪紅毯吧！,"Итак, расстилаем красную ковровую дорожку!","Très bien, déroulez le tapis rouge !","¡Muy bien, extiendan la alfombra roja!","Được rồi, trải thảm đỏ ra nào!"
7,0,정산 완료! 통장 채우자!,Settlement complete! Let's fill up the bank!,決済完了！さあ、銀行口座を満杯にしよう！,结算完成！让我们把银行存款存满吧！,結算完成！讓我們把銀行存款存滿吧！,Расчеты завершены! Давайте пополним банк!,Règlement terminé ! Remplissons la banque !,¡Liquidación completada! ¡Vamos a llenar el banco!,Giao dịch hoàn tất! Hãy cùng nạp tiền vào ngân hàng nào!
8,0,"자, 시원하게 세차 가자!","Alright, let's go get a refreshing car wash!",よし、さっそく爽快な洗車に行こう！,好了，咱们去洗个车吧！,好了，咱們去洗澡吧！,"Ладно, поехали на освежающую автомойку!","Très bien, allons faire un lavage de voiture rafraîchissant !","¡Muy bien, vamos a darle un buen lavado de autos!","Được rồi, chúng ta đi rửa xe thôi nào!"
9,0,일격필살!,One-Shot Kill!,一撃必殺！,一击毙命！,一擊斃命！,Убийство с одного выстрела!,Mort instantanée !,¡Muerte de un solo disparo!,Hạ gục đối thủ chỉ bằng một phát bắn!
10,0,모두 휩쓸어버려라!,Sweep it all away!,全てを一掃してしまえ！,把一切都扫走！,把一切都掃走！,Сметите всё!,Balayez tout !,¡Barre todo!,Hãy quét sạch tất cả đi!
11,0,위기일수록 강해진다!,"The more critical the situation, the stronger you become!",状況が深刻になればなるほど、あなたは強くなる！,情况越危急，你就越强大！,情況越危急，你就越強大！,"Чем критичнее ситуация, тем сильнее вы становитесь!","Plus la situation est critique, plus vous devenez fort !","¡Cuanto más crítica sea la situación, más fuerte te volverás!","Tình huống càng nguy cấp, bạn càng trở nên mạnh mẽ hơn!"
