index,kor,English,Japanese,ChineseSimplified,ChineseTraditional,Russian,French,Spanish,Vietnamese
int,string,string,string,string,string,string,string,string,string
1,불기둥,Pillar of fire,炎の柱,火柱,火柱,Столп огня,Pilier de feu,Columna de fuego,Cột lửa
2,나무가시,tree thorns,木の棘,树刺,樹刺,шипы деревьев,épines d'arbre,espinas de árbol,gai cây
3,번개,lightning,稲妻,闪电,閃電,молния,foudre,iluminación,sét
4,개구리,frog,蛙,青蛙,青蛙,лягушка,grenouille,rana,con ếch
5,깨물기,snap,スナップ,折断,折斷,щелчок,instantané,quebrar,chụp
6,파이어에로우,Fire Arrow,ファイアアロー,火箭,火箭,Огненная стрела,Flèche de feu,Flecha de fuego,Mũi tên lửa
7,-,-,-,-,-,-,-,-,-
8,나무칼,wooden knife,木製ナイフ,木刀,木刀,деревянный нож,couteau en bois,cuchillo de madera,dao gỗ
9,화염유성,Flame Meteor,フレイムメテオ,火焰流星,火焰流星,Огненный метеор,Météore de flamme,Meteorito de llamas,Sao băng lửa
10,번개파,Lightning wave,雷波,闪电波,閃電波,Молниеносная волна,onde de foudre,Onda de rayo,Sóng sét
11,충격파,shock wave,衝撃波,激波,激波,ударная волна,onde de choc,onda de choque,sóng xung kích
12,펌프,pump,ポンプ,泵,泵浦,насос,pompe,bomba,bơm
13,프리즌,Prison,刑務所,监狱,監獄,Тюрьма,Prison,Prisión,Nhà tù
14,텐타클,Tentacle,触手,触手,觸手,Щупальце,Tentacule,Tentáculo,Tua
15,원형번개,circular lightning,円形の稲妻,圆形闪电,圓形閃電,круговая молния,éclair circulaire,relámpago circular,sét tròn
16,파이어소드,Fire Sword,炎の剣,火焰剑,火焰劍,Огненный меч,Épée de feu,Espada de fuego,Kiếm Lửa
17,나무사슴,tree deer,木の鹿,树鹿,樹鹿,древесный олень,cerf des arbres,ciervo arborícola,hươu cây
18,빛나리,Shining,シャイニング,灼灼,灼灼,Сияющий,Brillant,Brillante,Tỏa sáng
19,우주수리검,Space Shuriken,スペースシュリケン,太空手里剑,太空手裡劍,Космический сюрикен,Shuriken spatial,Shuriken espacial,Phi tiêu không gian
20,하이드로,Hydro,水,水力,水力,Гидро,Hydro,Hidro,Thủy điện
21,토네이도,tornado,竜巻,龙卷风,龍捲風,торнадо,tornade,tornado,lốc xoáy
22,고드름,icicle,つらら,冰柱,冰柱,сосулька,stalactite,carámbano,cột băng
23,어둠박쥐,Dark Bat,ダークバット,黑蝙蝠,黑蝙蝠,Тёмная Летучая Мышь,Chauve-souris sombre,Murciélago oscuro,Dơi đen
24,뇌창,Brain Spear,ブレインスピア,脑矛,腦矛,Мозговое Копье,Lance cérébrale,Lanzamiento cerebral,Ngọn giáo não
25,어둠번개,Dark Lightning,ダークライトニング,黑暗闪电,黑暗閃電,Тёмная молния,Éclair noir,Rayo oscuro,Tia chớp đen
26,오색빛,Five-colored light,五色の光,五彩光,五彩光,Пятицветный свет,Lumière aux cinq couleurs,Luz de cinco colores,Ánh sáng năm màu
27,메테오,Meteor,流星,流星,流星,Метеор,Météore,Meteorito,Sao băng
28,썬더볼트,Thunderbolt,落雷,霹雳,霹靂,Громовой удар,Coup de tonnerre,Rayo,Thunderbolt
29,화염망치,Flame Hammer,フレイムハンマー,火焰锤,火焰錘,Огненный молот,Marteau à flamme,Martillo de llama,Búa Lửa
30,파워참,Power Charm,パワーチャーム,力量护符,力量護符,Силовой амулет,Charme de pouvoir,Encanto poderoso,Bùa hộ mệnh quyền năng
31,가르기,Splitting,分割,分裂,分裂,Разделение,Scission,Terrible,Chia tách
32,레이저,laser,レーザ,激光,雷射,лазер,laser,láser,tia laser
33,블러드,Blood,血,血,血,Кровь,Sang,Sangre,Máu
34,카리스마,charisma,カリスマ,魅力,魅力,харизма,charisme,carisma,sức hút
35,체력관리,Physical fitness management,体力管理,体能管理,體能管理,управление физической подготовкой,Gestion de la condition physique,gestión de la aptitud física,Quản lý thể chất
36,피날레,Finale,フィナーレ,终曲,終曲,Финал,Final,Final,Chung kết
37,앙코르,Encore,アンコール,安可,安可,На бис,Bis,Bis,Màn trình diễn lại
38,스페셜,Special,特別,特别的,特別的,Особенный,Spécial,Especial,Đặc biệt
39,박자감,sense of rhythm,リズム感,节奏感,節奏感,чувство ритма,sens du rythme,sentido del ritmo,cảm giác nhịp điệu
40,유연무브,Flexible Move,フレキシブルムーブ,灵活移动,靈活移動,Гибкий переезд,Déménagement flexible,Traslado flexible,Di chuyển linh hoạt
41,함성,cry,泣く,哭,哭,плакать,pleurer,llorar,khóc
42,애드립,Ad-lib,アドリブ,即兴发挥,即興發揮,Импровизация,Improvisation,Improvisar,Diễn xuất ngẫu hứng
43,스테이지,Stage,ステージ,阶段,階段,Этап,Scène,Escenario,Sân khấu
44,감각,sense,センス,感觉,感覺,смысл,sens,sentido,giác quan
45,스포트,spot,スポット,点,點,место,place,lugar,điểm
46,플래시,flash,フラッシュ,闪光,閃光,вспышка,éclair,destello,đèn flash
47,루틴,routine,ルーティーン,常规,常規,рутина,routine,rutina,lịch trình
48,절정,zenith,天頂,天顶,天頂,зенит,zénith,cenit,đỉnh cao
