index,kor,English,Japanese,ChineseSimplified,ChineseTraditional,Russian,French,Spanish,Vietnamese
int,string,string,string,string,string,string,string,string,string
1,어라? 무대에 난입자 등장!? 팬서비스로 보기엔 좀 거친데?,Huh? A stage intruder appeared!? That's a bit rough to be considered fan service.,えっ？ステージに乱入者が現れた！？それはファンサービスと呼ぶにはちょっとやりすぎじゃないか。,咦？舞台上居然出现了不速之客！？这算哪门子粉丝福利啊。,咦？舞台上居然出現不速之客了！ ？這算哪一門子粉絲福利啊。,"Что? На сцену кто-то нарушил правила?! Это слишком грубо, чтобы считать это угождением фанатам.",Hein ? Un intrus est apparu sur scène ?! C'est un peu grossier pour être considéré comme du fan service.,¿Eh? ¿¡Apareció un intruso en el escenario!? Eso es un poco fuerte para considerarlo un guiño a los fans.,Hả? Có kẻ đột nhập sân khấu!? Như vậy thì không thể coi là chiều lòng người hâm mộ được nữa.
2,"근데.. 네가 내 매니저… 아니, 파트너지? 잘 부탁해!","By the way... you're my manager... no, my partner, right? Nice to meet you!",ところで…あなたは私のマネージャー…いや、パートナーですよね？はじめまして！,对了……你是我的经理……不，是我的合伙人，对吧？很高兴认识你！,對了……你是我的經理……不，是我的合夥人，對吧？很高興認識你！,"Кстати... вы мой менеджер... нет, мой партнер, верно? Приятно познакомиться!","Au fait… vous êtes mon manager… non, mon associé, n’est-ce pas ? Enchanté(e) !","Por cierto... eres mi jefe... no, mi socio, ¿verdad? ¡Encantado de conocerte!","À mà... anh/chị là quản lý của tôi à... không, là cộng sự của tôi, đúng không? Rất vui được làm quen!"
3,"좋아, 첫 무대부터 화끈하게 가보자! 적부터 정리하자고!","Alright, let's go all out right from the first stage! Let's take out the enemies first!",よし、最初のステージから全力でやろう！まずは敵を倒そう！,好，让我们从第一关就全力以赴！先把敌人消灭掉！,好，讓我們從第一關就全力以赴！先把敵人消滅掉！,"Итак, давайте начнём с самого начала! Сначала уничтожим врагов!","Très bien, on y va à fond dès le premier niveau ! Éliminons d'abord les ennemis !","¡Muy bien, vamos a darlo todo desde la primera fase! ¡Acabemos primero con los enemigos!","Được rồi, chúng ta hãy dốc toàn lực ngay từ giai đoạn đầu tiên! Hãy tiêu diệt kẻ thù trước đã!"
4,레벨이 오르면 우리가 성장할수 있어 <color=red>[힘]</color>을 올려봐,"If the level goes up, we can grow. Try increasing <color=red>[Strength]</color>.",レベルが上がれば、成長できます。<color=red>[Strength]</color>を上げてみてください。,等级提升，我们就能成长。尝试提升<color=red>[力量]</color>。,等級提升，我們就能成長。試著提升<color=red>[力量]</color>。,"Если уровень повысится, мы сможем расти. Попробуйте увеличить <color=red>[Сила]</color>.","Si le niveau augmente, nous pouvons progresser. Essayez d'augmenter <color=red>[Force]</color>.","Si el nivel sube, podemos crecer. Intenta aumentar <color=red>[Fuerza]</color>.","Nếu cấp độ tăng lên, chúng ta có thể phát triển. Hãy thử tăng <color=red>[Sức mạnh]</color>."
5,잘했어! 또 마스터리도 찍을수 있으니까 하나 올려봐!,"Good job! You can also take Mastery, so try leveling one up!",よくやった！マスタリーも取得できるので、レベルアップさせてみよう！,干得好！你也可以选择精通，所以试着提升一下等级吧！,幹得好！你也可以選擇精通，所以試著提升等級吧！,"Отличная работа! Ты также можешь выбрать Мастерство, так что попробуй прокачать один из этих навыков!","Bravo ! Tu peux aussi choisir Maîtrise, alors essaie d'en monter un de niveau !","¡Buen trabajo! También puedes elegir Maestría, ¡así que intenta subir de nivel una!","Giỏi lắm! Bạn cũng có thể tham gia khóa học Nâng cao kỹ năng, hãy thử nâng cấp một kỹ năng xem sao!"
6,장비 없이는 아무리 아이돌이라도 싸움은 힘들지.,Even an idol would have a hard time fighting without equipment.,アイドルでさえ、装備なしで戦うのは難しいだろう。,即使是偶像，没有装备也很难战斗。,即使是偶像，沒有裝備也很難戰鬥。,Даже кумиру будет трудно сражаться без экипировки.,Même une idole aurait du mal à se battre sans équipement.,Incluso un ídolo tendría dificultades para luchar sin equipo.,Ngay cả một thần tượng cũng khó có thể chiến đấu mà không có trang bị.
7,이제 우리도 장비를 만들어보자,"Now, let's try making equipment ourselves.",それでは、自分たちで機器を作ってみましょう。,现在，让我们尝试自己制作设备。,現在，讓我們嘗試自己製作設備。,Теперь давайте попробуем изготовить оборудование самостоятельно.,"Maintenant, essayons de fabriquer nous-mêmes l'équipement.","Ahora, intentemos fabricar nosotros mismos el equipo.",Giờ thì hãy thử tự chế tạo thiết bị xem sao.
8,그럼 제작한 장비를 어서 입어봐야지!,Then I should hurry up and try on the gear I crafted!,それなら急いで、自分で作った装備を試着してみよう！,那我应该赶紧试试我制作的装备！,那我應該趕緊試試我製作的裝備！,"Тогда мне следует поскорее примерить снаряжение, которое я изготовил!",Alors je devrais me dépêcher d'essayer l'équipement que j'ai fabriqué !,¡Entonces debería darme prisa y probarme el equipo que fabriqué!,Vậy thì tôi phải nhanh chóng thử bộ trang phục mình tự chế tạo thôi!
9,그런데 뭔가 허전한데? 좀 더 좋게 만들어 봐,But something feels missing. Try making it a bit better.,でも、何かが足りない気がする。もう少し良くしてみよう。,但总觉得少了点什么。试着改进一下吧。,但總覺得少了點什麼。試著改進一下吧。,Но чего-то не хватает. Попробуйте сделать это немного лучше.,Mais il manque quelque chose. Essayez de l'améliorer un peu.,Pero siento que falta algo. Intenta mejorarlo un poco.,Nhưng có vẻ như vẫn thiếu sót điều gì đó. Hãy thử cải thiện nó một chút.
