index,value,kor,English,Japanese,ChineseSimplified,ChineseTraditional,Russian,French,Spanish,Vietnamese
int,int,string,string,string,string,string,string,string,string,string
0,0,-,-,-,-,-,-,-,-,-
1,0,스킬,Skill,スキル,技能,技能,Навык,Compétence,Habilidad,Kỹ năng
2,0,보석,jewel,宝石,宝石,寶石,драгоценность,bijou,joya,viên ngọc
3,0,동료,colleague,同僚,同事,同事,коллега,collègue,colega,đồng nghiệp
4,1,{0}회,{0} times,{0}回,{0} 次,{0} 次,{0} раз,{0} fois,{0} veces,{0} lần
5,0,특성,Traits,特性,特征,特徵,Черты,Caractéristiques,Rasgos,Đặc điểm
6,0,공격력 증가,Increase attack power,攻撃力を上げる,提升攻击力,提升攻擊力,Увеличьте силу атаки,Augmenter la puissance d'attaque,Aumentar el poder de ataque,Tăng sức tấn công
7,0,체력 증가,Increased stamina,スタミナの向上,耐力增强,耐力增強,Повышенная выносливость,endurance accrue,Mayor resistencia,Tăng cường sức bền
8,0,명중 증가,Increased accuracy,精度向上,提高准确性,提高準確性,Повышенная точность,Précision accrue,Mayor precisión,Độ chính xác được tăng cường
9,0,회피 증가,Increased evasion,回避率の向上,提高闪避率,提高閃避率,Усиление уклонения,Évasion accrue,Mayor evasión,Tăng cường khả năng né tránh
10,0,스킬 피해량 증가,Skill damage increase,スキルダメージ増加,技能伤害提升,技能傷害提升,Увеличение урона от навыков,augmentation des dégâts de compétence,Aumento del daño de habilidad,Tăng sát thương kỹ năng
11,0,치명타 피해량 증가,Increased critical hit damage,クリティカルヒットダメージ増加,暴击伤害增加,暴擊傷害增加,Увеличен урон от критических попаданий,Dégâts critiques accrus,Aumento del daño por golpe crítico,Tăng sát thương chí mạng
12,0,보스 피해량 증가,Increased boss damage,ボスへのダメージ増加,首领伤害增加,首領傷害增加,Увеличен урон по боссам,Dégâts des boss augmentés,Daño aumentado a los jefes,Tăng sát thương của trùm
13,0,힘,STR,STR,STR,STR,STR,STR,STR,STR
14,0,체력,CON,CON,CON,CON,CON,CON,CON,CON
15,0,민첩,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI
16,0,지능,INT,INT,INT,INT,INT,INT,INT,INT
17,0,행운,LUCK,LUCK,LUCK,LUCK,LUCK,LUCK,LUCK,MAY MẮN
18,0,공격력,Attack power,攻撃力,攻击力,攻擊力,Сила атаки,puissance d'attaque,Poder de ataque,Sức tấn công
19,0,체력,Physical strength,体力,体力,體力,Физическая сила,force physique,fuerza física,Sức mạnh thể chất
20,0,치명타 피해,Critical damage,致命的なダメージ,严重伤害,嚴重傷害,Критический ущерб,Dommages critiques,Daños críticos,Thiệt hại nghiêm trọng
21,0,이동속도,Movement speed,移動速度,移动速度,移動速度,Скорость передвижения,vitesse de déplacement,Velocidad de movimiento,Tốc độ di chuyển
22,0,공격속도,Attack speed,攻撃速度,攻击速度,攻擊速度,скорость атаки,vitesse d'attaque,Velocidad de ataque,Tốc độ tấn công
23,0,스킬피해,Skill damage,スキルダメージ,技能伤害,技能傷害,Урон от навыков,dégâts de compétence,Daño de habilidad,Sát thương kỹ năng
24,0,보스피해,Boss damage,ボスへのダメージ,首领伤害,首領傷害,Урон боссу,Dégâts du boss,Daño del jefe,Sát thương của trùm
25,0,받는 피해 감소,Reduction in damage received,被った損害の減少,减少所受损失,減少所受損失,Снижение полученного ущерба,Réduction des dommages subis,Reducción de los daños sufridos,Giảm thiệt hại nhận được
26,0,명중,Hit,打つ,打,打,Ударять,Frapper,Golpear,Đánh
27,0,회피,evasion,回避,逃避,逃避,уклонение,évasion,evasión,sự né tránh
28,0,흡혈,Bloodsucking,吸血,吸血鬼,吸血鬼,Кровососущий,suceur de sang,Chupasangre,Hút máu
29,0,다중공격,multi-attack,マルチアタック,多重攻击,多重攻擊,многократная атака,attaque multiple,ataque múltiple,tấn công đa mục tiêu
30,0,즉사,instant death,即死,立即死亡,立即死亡,мгновенная смерть,mort instantanée,muerte instantánea,chết ngay lập tức
31,0,쿨감,Cooldown reduction,クールダウン短縮,冷却时间缩短,冷卻時間縮短,Снижение времени охлаждения,Réduction du temps de recharge,Reducción del tiempo de reutilización,Giảm thời gian hồi chiêu
32,0,골드획득,Gold Acquisition,金の取得,黄金收购,黃金收購,Приобретение золота,Acquisition d'or,Adquisición de oro,Thu mua vàng
33,0,재료드랍,Material Drop,マテリアルドロップ,材料投放,材料投放,Материальная капля,Lâcher de matériaux,Caída de material,Vật liệu rơi
34,0,경험치,experience points,経験値,经验值,經驗值,баллы опыта,points d'expérience,puntos de experiencia,điểm kinh nghiệm
35,0,아이템드랍,Item Drop,アイテムドロップ,物品掉落,物品掉落,Выпадение предмета,Lâcher d'objet,Caída de objeto,Vật phẩm rơi
36,0,상위드랍,Top drop,トップドロップ,顶部落差,頂部落差,Верхний каплей,Chute du haut,Caída libre superior,Thả từ trên xuống
37,0,화염 계열 데미지,Fire-type damage,炎タイプのダメージ,火属性伤害,火屬性傷害,Огненный урон,Dégâts de type Feu,Daños de tipo fuego,Thiệt hại kiểu lửa
38,0,번개 계열 데미지,Lightning-based damage,雷属性のダメージ,闪电伤害,閃電傷害,Урон от молнии,Dégâts causés par la foudre,Daños causados ​​por rayos,Sát thương dựa trên sét
39,0,땅 계열 데미지,Earth-type damage,土属性ダメージ,地属性伤害,地屬性傷害,Повреждения типа Земли,Dégâts de type Terre,Daños de tipo terrestre,Thiệt hại kiểu Trái đất
40,0,물 계열 데미지,Water element damage,水による損傷,水元素损害,水元素損害,Повреждение водной стихии,dégâts causés par l'eau,Daños causados ​​por el elemento agua,thiệt hại do nguyên tố nước gây ra
41,0,어둠 계열 데미지,Dark element damage,闇属性ダメージ,暗元素伤害,暗元素傷害,Урон от темной стихии,dégâts de l'élément ténèbres,Daño de elemento oscuro,Sát thương nguyên tố bóng tối
