index,value,kor,English,Japanese,ChineseSimplified,ChineseTraditional,Russian,French,Spanish,Vietnamese
int,int,string,string,string,string,string,string,string,string,string
1,1,몬스터 <color=red>{0}회</color> 처치,Defeat monsters <color=red>{0} times</color>,モンスターを<color=red>{0}回倒す</color>,击败怪物 <color=red>{0} 次</color>,擊敗怪物 <color=red>{0} 次</color>,Победите монстров <color=red>{0} раз</color>,Vaincre des monstres <color=red>{0} fois</color>,Derrota monstruos <color=red>{0} veces</color>,Đánh bại quái vật <color=red>{0} lần</color>
2,1,레벨 <color=red>{0}</color> 달성,Achieve Level <color=red>{0}</color>,レベル <color=red>{0}</color> を達成する,达到等级 <color=red>{0}</color>,達到等級 <color=red>{0}</color>,Достигните уровня <color=red>{0}</color>,Atteindre le niveau <color=red>{0}</color>,Alcanza el nivel <color=red>{0}</color>,Đạt cấp độ <color=red>{0}</color>
3,1,스테이지 <color=red>{0}</color> 진입,Enter Stage <color=red>{0}</color>,ステージに入る <color=red>{0}</color>,进入舞台 <color=red>{0}</color>,進入舞台 <color=red>{0}</color>,Выход на сцену <color=red>{0}</color>,Entrer sur scène <color=red>{0}</color>,Entrar en escena <color=red>{0}</color>,Bước lên sân khấu <color=red>{0}</color>
4,1,마스터리 <color=red>{0}</color>개 찍기,Mastery <color=red>{0}</color> stamps,熟練度 <color=red>{0}</color> スタンプ,精通 <color=red>{0}</color> 印章,精通 <color=red>{0}</color> 印章,Мастерство <color=red>{0}</color> штампы,Tampons de maîtrise <color=red>{0}</color>,Sellos de maestría <color=red>{0}</color>,Tem thành thạo <color=red>{0}</color>
5,1,장비 제작 <color=red>{0}회</color>,Equipment production <color=red>{0} times</color>,設備生産 <color=red>{0} 回</color>,设备生产次数：0 次,設備生產次數：0 次,Производство оборудования <color=red>{0} раз</color>,Production d'équipement <color=red>{0} fois</color>,Producción de equipos <color=red>{0} veces</color>,Sản xuất thiết bị <color=red>{0} lần</color>
6,1,장비 강화 <color=red>{0}회</color>,Equipment Enhancement <color=red>{0} times</color>,装備強化 <color=red>{0} 回</color>,装备强化次数：{0} 次,裝備強化次數：{0} 次,Улучшение оборудования <color=red>{0} раз</color>,Amélioration de l'équipement <color=red>{0} fois</color>,Mejora del equipo <color=red>{0} veces</color>,Nâng cấp trang thiết bị <color=red>{0} lần</color>
7,0,<color=red>장비 일괄 강화</color> 보기,<color=red>Bulk Equipment Enhancement</color> View,<color=red>バルク機器の強化</color> 表示,<color=red>散装设备增强</color> 查看,<color=red>散裝設備增強</color> 查看,<color=red>Улучшение оборудования для массовых закупок</color> Просмотреть,<color=red>Amélioration des équipements en vrac</color> Voir,<color=red>Mejora de equipos a granel</color> Ver,<color=red>Nâng cấp thiết bị số lượng lớn</color> Xem
8,1,장비 복원 <color=red>{0}회</color>,Equipment restoration <color=red>{0} times</color>,機器の復旧 <color=red>{0} 回</color>,设备修复次数：0 次,設備修復次數：0 次,Восстановление оборудования <color=red>{0} раз</color>,Restauration du matériel <color=red>{0} fois</color>,Restauración de equipos <color=red>{0} veces</color>,Khôi phục thiết bị <color=red>{0} lần</color>
9,1,힘 특성 <color=red>{0}개</color> 찍기,Power Attributes <color=red>{0} items</color> Print,電力属性 <color=red>{0} 項目</color> 印刷,力量属性 <color=red>{0} 项</color> 打印,力量屬性 <color=red>{0} 項目</color> 列印,Атрибуты мощности <color=red>{0} элементов</color> Печать,Attributs de puissance <color=red>{0} éléments</color> Imprimer,Atributos de potencia <color=red>{0} elementos</color> Imprimir,Thuộc tính nguồn <color=red>{0} mục</color> In
10,1,체력 특성 <color=red>{0}개</color> 찍기,Stamina trait <color=red>{0} points</color>,スタミナ特性 <color=red>{0}ポイント</color>,耐力特质 <color=red>{0} 点</color>,耐力特質 <color=red>{0} 點</color>,Выносливость <color=red>{0} очков</color>,Caractéristique Endurance <color=red>{0} points</color>,Rasgo de resistencia <color=red>{0} puntos</color>,Đặc điểm sức bền <color=red>{0} điểm</color>
11,1,민첩 특성 <color=red>{0}개</color> 찍기,Set <color=red>{0} points</color> for Agility trait,敏捷性特性に<color=red>{0}ポイント</color>を設定します。,敏捷特性点数设为<color=red>{0}点</color>,敏捷特性點數設為<color=red>{0}點</color>,Установите <color=red>{0} очков</color> для характеристики Ловкость,Attribuez <color=red>{0} points</color> au trait Agilité,Establece <color=red>{0} puntos</color> para el rasgo Agilidad.,Đặt <color=red>{0} điểm</color> cho đặc điểm Nhanh nhẹn
12,1,지능 특성 <color=red>{0}개</color> 찍기,Intelligence Trait <color=red>{0} points</color>,知能特性 <color=red>{0}ポイント</color>,智力特质 <color=red>{0} 分</color>,智力特質 <color=red>{0} 分</color>,Интеллектуальная черта <color=red>{0} баллов</color>,Caractéristique d'intelligence <color=red>{0} points</color>,Rasgo de inteligencia <color=red>{0} puntos</color>,Đặc điểm trí thông minh <color=red>{0} điểm</color>
13,1,행운 특성 <color=red>{0}개</color> 찍기,Luck trait <color=red>{0} stamps</color>,幸運特性 <color=red>{0} スタンプ</color>,幸运特质 <color=red>{0} 枚邮票</color>,幸運特質 <color=red>{0} 枚郵票</color>,Удача <color=red>{0} марок</color>,Caractéristique chance <color=red>{0} timbres</color>,Rasgo de suerte <color=red>{0} sellos</color>,Đặc điểm may mắn <color=red>{0} tem</color>
14,1,장비 분해 <color=red>{0}개</color>회,Equipment disassembly <color=red>{0} pieces</color> times,機器の分解 <color=red>{0} 個</color> 回,设备拆卸次数：{0} 件,設備拆卸次數：{0} 件,Разборка оборудования <color=red>{0} штук</color> раз,Démontage de l'équipement <color=red>{0} pièces</color> fois,Desmontaje del equipo <color=red>{0} piezas</color> veces,Tháo dỡ thiết bị <color=red>{0} lần</color>
15,0,<color=red>장비 일괄 분해</color> 보기,<color=red>Batch Equipment Disassembly</color> View,<color=red>バッチ装置の分解</color>表示,<color=red>批次设备拆卸</color> 查看,<color=red>批次設備拆卸</color> 查看,<color=red>Разборка оборудования для пакетной обработки</color> Просмотр,<color=red>Démontage de l'équipement de traitement par lots</color> Vue,<color=red>Desmontaje de equipos de lote</color> Ver,<color=red>Tháo dỡ thiết bị theo lô</color> Xem
16,0,<color=red>자동 분해 설정</color> 보기,<color=red>View Automatic Disassembly Settings</color>,<color=red>自動分解設定を表示</color>,<color=red>查看自动拆卸设置</color>,<color=red>查看自動拆卸設定</color>,<color=red>Просмотр настроек автоматической декомпиляции</color>,<color=red>Afficher les paramètres de démontage automatique</color>,<color=red>Ver configuración de desmontaje automático</color>,<color=red>Xem cài đặt tháo rời tự động</color>
17,1,스킬 뽑기 <color=red>{0}회</color>,Skill Draw <color=red>{0} times</color>,スキルドロー <color=red>{0} 回</color>,技能抽牌 <color=red>{0} 次</color>,技能抽牌 <color=red>{0} 次</color>,Рисуем с ловкостью <color=red>{0} раз</color>,Tirage au sort de compétence <color=red>{0} fois</color>,Desempate de habilidad <color=red>{0} veces</color>,Kỹ năng rút bài <color=red>{0} lần</color>
18,1,스킬 장착 <color=red>{0}회</color>,Equip Skill <color=red>{0} times</color>,スキルを装備する <color=red>{0} 回</color>,装备技能<color=red>{0}次</color>,裝備技能<color=red>{0}次</color>,Навык экипировки <color=red>{0} раз</color>,Équiper la compétence <color=red>{0} fois</color>,Equipar habilidad <color=red>{0} veces</color>,Trang bị kỹ năng <color=red>{0} lần</color>
19,1,<color=red>네스</color> {0}회 클리어,<color=red>Ness</color> {0} times cleared,<color=red>Ness</color> {0} 回クリアされました,<color=red>Ness</color> {0} 次清除,<color=red>Ness</color> {0} 次清除,<color=red>Ness</color> {0} раз очищено,<color=red>Ness</color> {0} fois effacé,<color=red>Ness</color> {0} veces borrado,<color=red>Ness</color> {0} lần đã được xóa
20,1,동료 뽑기 <color=red>{0}회</color>,Draw Companion <color=red>{0} times</color>,コンパニオンを描画 <color=red>{0} 回</color>,绘图伴侣 <color=red>{0} 次</color>,繪圖伴侶 <color=red>{0} 次</color>,Нарисуйте компаньона <color=red>{0} раз</color>,Dessiner Compagnon <color=red>{0} fois</color>,Dibujar compañero <color=red>{0} veces</color>,Vẽ đồng hành <color=red>{0} lần</color>
21,1,동료 장착 <color=red>{0}회</color>,Companion equipped <color=red>{0} times</color>,コンパニオン装備<color=red>{0}回</color>,同伴装备<color=red>{0}次</color>,同伴裝備<color=red>{0}次</color>,Спутник экипирован <color=red>{0} раз</color>,Compagnon équipé <color=red>{0} fois</color>,Compañero equipado <color=red>{0} veces</color>,Người đồng hành được trang bị <color=red>{0} lần</color>
22,1,동료 강화 <color=red>{0}회</color>,Companion Enhancement <color=red>{0} times</color>,コンパニオン強化 <color=red>{0} 回</color>,同伴强化 <color=red>{0} 次</color>,同儕強化 <color=red>{0} 次</color>,Улучшение компаньона <color=red>{0} раз</color>,Amélioration du compagnon <color=red>{0} fois</color>,Mejora del compañero <color=red>{0} veces</color>,Tăng cường đồng hành <color=red>{0} lần</color>
23,1,동료 합성 <color=red>{0}회</color>,Colleague Synthesis <color=red>{0} times</color>,同僚合成 <color=red>{0} 回</color>,同事综合评价 <color=red>{0} 次</color>,同事綜合評估 <color=red>{0} 次</color>,Синтез коллеги <color=red>{0} раз</color>,Synthèse des collègues <color=red>{0} fois</color>,Síntesis de colegas <color=red>{0} veces</color>,Tổng hợp đồng nghiệp <color=red>{0} lần</color>
24,1,특성 뽑기 <color=red>{0}회</color>,Trait Draw <color=red>{0} times</color>,特性ドロー <color=red>{0} 回</color>,特性抽取<color=red>{0} 次</color>,特性抽取<color=red>{0} 次</color>,Рисунок характеристик <color=red>{0} раз</color>,Tirage de trait <color=red>{0} fois</color>,Rasgo de dibujo <color=red>{0} veces</color>,Rút thăm đặc điểm <color=red>{0} lần</color>
25,0,<color=red>특성</color> 보기,<color=red>View Properties</color>,<color=red>プロパティを表示</color>,<color=red>查看房产</color>,<color=red>查看房產</color>,<color=red>Просмотреть свойства</color>,<color=red>Afficher les propriétés</color>,<color=red>Ver propiedades</color>,<color=red>Xem thuộc tính</color>
