index,type,kor,English,Japanese,ChineseSimplified,ChineseTraditional,Russian,French,Spanish,Vietnamese
int,int,string,string,string,string,string,string,string,string,string
1,2, 전방의 <color=yellow>{1}</color>번째 적까지 불기둥을 소환하여 공격력의 <color=red>{0}%</color> 피해를 줍니다.,"Summons pillars of fire up to the <color=yellow>{1}</color>th enemy in front, dealing <color=red>{0}%</color> of attack power damage.",前方の<color=yellow>{1}</color>番目の敵まで炎の柱を召喚し、攻撃力の<color=red>{0}%</color>のダメージを与えます。,召唤火柱攻击前方第 1 个敌人，造成攻击力的 0% 伤害。,召喚火柱攻擊前方第 1 個敵人，造成攻擊力的 0% 傷害。,"Призывает огненные столбы до <color=yellow>{1}</color>-го врага впереди, наносящие <color=red>{0}%</color> урона от силы атаки.","Invoque des piliers de feu jusqu'au <color=yellow>{1}</color>ème ennemi devant, infligeant <color=red>{0}%</color> de dégâts de puissance d'attaque.","Invoca pilares de fuego hasta el <color=yellow>{1}</color>enemigo que tengas delante, infligiendo <color=red>{0}%</color> de daño de poder de ataque.","Triệu hồi các cột lửa lên đến kẻ địch thứ <color=yellow>{1}</color>phía trước, gây sát thương bằng <color=red>{0}%</color> sức tấn công."
2,2,핑크폭탄을 <color=yellow>{1}</color>개 생성하여 공격력의 <color=red>{0}%</color> 피해를 줍니다.,Creates <color=yellow>{1}</color> pink bombs and deals <color=red>{0}%</color> of attack power damage.,<color=yellow>{1}</color>個のピンク色の爆弾を生成し、攻撃力の<color=red>{0}%</color>のダメージを与えます。,生成<color=yellow>{1}</color>个粉色炸弹，造成<color=red>{0}%</color>攻击力伤害。,生成<color=yellow>{1}</color>個粉紅色炸彈，造成<color=red>{0}%</color>攻擊力傷害。,Создаёт розовые бомбы и наносит 0% урона от силы атаки.,Crée <color=yellow>{1}</color> bombes roses et inflige <color=red>{0}%</color> de dégâts de puissance d'attaque.,Crea <color=yellow>{1}</color> bombas rosas y causa <color=red>{0}%</color> de daño de poder de ataque.,Tạo ra <color=yellow>{1}</color> quả bom màu hồng và gây sát thương bằng <color=red>{0}%</color> sức tấn công.
3,2,번개를 <color=yellow>{1}개</color> 생성하여 임의의 적에게 공격력의 <color=red>{0}%</color> 피해를 줍니다.,Generates <color=yellow>{1} lightning bolts</color> to deal <color=red>{0}%</color> of attack power damage to a random enemy.,ランダムな敵に攻撃力の<color=yellow>{1}個の稲妻</color>を生成し、<color=red>{0}%</color>のダメージを与えます。,生成<color=yellow>{1}道闪电</color>，对随机敌人造成<color=red>{0}%</color>攻击力伤害。,生成<color=yellow>{1}道閃電</color>，對隨機敵人造成<color=red>{0}%</color>攻擊力傷害。,"Генерирует <color=yellow>{1} молний</color>, наносящих <color=red>{0}%</color> урона от силы атаки случайному противнику.",Génère <color=yellow>{1} éclairs</color> pour infliger <color=red>{0}%</color> de dégâts de puissance d'attaque à un ennemi aléatoire.,Genera <color=yellow>{1} rayos</color> para infligir <color=red>{0}%</color> de daño de poder de ataque a un enemigo aleatorio.,Tạo ra <color=yellow>{1} tia sét</color> gây sát thương bằng <color=red>{0}%</color> sức tấn công lên một kẻ địch ngẫu nhiên.
4,2,별을 <color=yellow>{1}개</color> 떨어트려 <color=red>{0}%</color>의 광역피해를 줍니다.,Drops <color=yellow>{1} stars</color> to deal <color=red>{0}%</color> area damage.,<color=yellow>{1}個の星</color>を落とし、<color=red>{0}%</color>の範囲ダメージを与えます。,掉落 <color=yellow>{1} 颗星星</color>，造成 <color=red>{0}%</color> 范围伤害。,掉落 <color=yellow>{1} 顆星星</color>，造成 <color=red>{0}%</color> 範圍傷害。,"Сбрасывает <color=yellow>{1} звезд</color>, нанося <color=red>{0}%</color> урона по области.",Laisse tomber <color=yellow>{1} étoiles</color> pour infliger <color=red>{0}%</color> de dégâts de zone.,Suelta <color=yellow>{1} estrellas</color> para infligir <color=red>{0}%</color> de daño de área.,Thả <color=yellow>{1} sao</color> để gây <color=red>{0}%</color> sát thương diện rộng.
5,3,<color=yellow>{1}</color>초간 받는 피해 <color=red>{0}%</color> 감소,<color=yellow>{1}</color>Damage taken for <color=red>{0}%</color> is reduced for <color=yellow>{1}</color> seconds,<color=yellow>{1}</color> <color=red>{0}%</color>のダメージが<color=yellow>{1}</color>秒間軽減されます,<color=yellow>{1}</color>受到的伤害减少<color=red>{0}%</color>，持续<color=yellow>{1}</color>秒</color>。,<color=yellow>{1}</color>受到的傷害減少<color=red>{0}%</color>，持續<color=yellow>{1}</color>秒</color>。,<color=yellow>{1}</color>Получаемый урон в размере <color=red>{0}%</color> снижается на <color=yellow>{1}</color> секунд,Les dégâts subis pendant <color=yellow>{1}</color> sont réduits pendant <color=red>{0}%</color> secondes,<color=yellow>{1}</color>El daño recibido durante <color=red>{0}%</color> se reduce durante <color=yellow>{1}</color> segundos,<color=yellow>{1}</color>Sát thương nhận được trong <color=red>{0}%</color> sẽ giảm trong <color=yellow>{1}</color> giây
6,1,음표를 발사하여 공격력의 <color=red>{0}%</color> 피해를 2번 줍니다.,,,,,,,,
7,2,적 1명에게 공격력의 <color=red>{0}%</color>의\n피해를 주는 일격을 <color=yellow>{1}번</color> 가합니다.,Deals a blow to 1 enemy that deals <color=yellow>{1} times <color=yellow>attack power of <color=red>{0}%</color> of <color=yellow>{1} damage.,1体の敵に、攻撃力の<color=yellow>{1}倍の<color=yellow>攻撃力の<color=red>{0}%</color>の<color=yellow>{1}ダメージを与える攻撃を繰り出す。,对 1 个敌人造成一次攻击，造成 1 倍攻击力，伤害为 1 点。,對 1 個敵人造成一次攻擊，造成 1 倍攻擊力，傷害 1 點。,"Наносит удар 1 врагу, причиняя <color=yellow>{1} раз <color=yellow>урон, равный <color=red>{0}%</color> от <color=yellow>{1} урона.",Inflige un coup à 1 ennemi qui inflige <color=yellow>{1} fois la puissance d'attaque de <color=yellow>{0}%</color> de <color=yellow>{1} dégâts.,Inflige un golpe a 1 enemigo que inflige <color=yellow>{1} veces <color=yellow>poder de ataque de <color=red>{0}%</color> de <color=yellow>{1} daño.,Gây một đòn tấn công lên 1 kẻ địch với sát thương bằng <color=yellow>{1} lần sức tấn công của <color=red>{0}%</color> <color=yellow>{1} sát thương.
8,2,<color=yellow>{0}초</color> 동안 최종피해량 <color=red>{1}%</color> 증가,Increase final damage by <color=red>{1}%</color> for <color=yellow>{0} seconds</color>,最終ダメージを<color=red>{1}%</color>増加させ、<color=yellow>{0}秒間</color>する。,最终伤害提高 <color=red>{1}%</color>，持续 <color=yellow>{0} 秒</color>。,最終傷害提高 <color=red>{1}%</color>，持續 <color=yellow>{0} 秒</color>。,Увеличьте итоговый урон на <color=red>{1}%</color> на <color=yellow>{0} секунд</color>,Augmente les dégâts finaux de <color=red>{1}%</color> pendant <color=yellow>{0} secondes</color>,Aumenta el daño final en un <color=red>{1}%</color> durante <color=yellow>{0} segundos</color>,Tăng sát thương cuối cùng lên <color=red>{1}%</color> trong <color=yellow>{0} giây</color>
9,1,스킬 쿨타임 <color=red>{0}%</color> 감소,Skill Cooldown <color=red>{0}%</color> Reduction,スキルクールダウン <color=red>{0}%</color> 短縮,技能冷却时间减少 <color=red>{0}%</color>,技能冷卻時間減少 <color=red>{0}%</color>,Снижение времени восстановления навыков <color=red>{0}%</color>,Réduction du temps de recharge des compétences : <color=red>{0}%</color>,Reducción del tiempo de reutilización de la habilidad <color=red>{0}%</color>,Giảm thời gian hồi chiêu kỹ năng <color=red>{0}%</color>
