index,main,kor,English,Japanese,ChineseSimplified,ChineseTraditional,Russian,French,Spanish,Vietnamese
int,int,string,string,string,string,string,string,string,string,string
1,1,"오늘, 이 뜨거운 열기가 보이시나요? 다음 곡은—!",Can you see this intense heat today? The next song is—!,今日のこの猛暑が見えますか？次の曲は…！,今天这天气真热啊！下一首歌是——！,今天這天氣真熱啊！下一首歌是──！,Вы видите эту невыносимую жару сегодня? Следующая песня —!,Vous voyez cette chaleur intense aujourd'hui ? La prochaine chanson est… !,¿Puedes ver este calor intenso hoy? ¡La siguiente canción es...!,Bạn có thấy cái nóng khủng khiếp hôm nay không? Bài hát tiếp theo là—!
2,3,<콰아앙!!!>,BANG!!!,ドーン!!!,砰！！！,砰！ ！ ！,ХЛОПНУТЬ!!!,CLAQUER!!!,¡¡¡ESTALLIDO!!!,BÙM!!!
3,3,꺄아악! 무슨일이야!,Aaaah! What's going on!,ああああ！何が起こっているんだ！,啊！发生什么事了！,啊！發生什麼事了！,Ааа! Что происходит!,Aaaah ! Que se passe-t-il ?,¡Aaaah! ¡¿Qué está pasando?!,Ái chà! Chuyện gì đang xảy ra vậy!
4,3,도망쳐!!,Run away!!,逃げる！！,逃跑！！,逃跑！ ！,Убегать!!,Fuyez!!,¡¡Huir!!,Chạy trốn đi!!
5,2,그르르르... 흥겨운 놀이였나. 크르륵. 그르르르르르. 이제 이 별의 모든 소음은 그르릉... 침묵하게 될 거다.,Grrr... Was it a fun game? Grrr. Grrrrrrr. Now all the noise on this planet will growl... and fall silent.,うーん…楽しいゲームだった？うーん。うーん。今、この惑星のすべての騒音はうなり声を上げ…そして静まり返るだろう。,吼……这游戏好玩吗？吼。吼吼吼吼。现在这星球上所有的喧嚣都将咆哮……然后归于沉寂。,吼……這遊戲好玩嗎？吼。吼吼吼吼。現在這星球上所有的喧囂都將咆哮……然後歸於沉寂。,Гррр... Была ли это веселая игра? Гррр. Гррррр. Теперь весь шум на этой планете зарычит... и затихнет.,"Grrr... C'était un jeu amusant ? Grrr. Grrrrrrr. Maintenant, tout le bruit de cette planète va grogner... puis se taire.",Grrr... ¿Fue un juego divertido? Grrr. Grrrrrrr. Ahora todo el ruido de este planeta gruñirá... y se quedará en silencio.,Grrr... Trò chơi này vui không? Grrr. Grrrrrrr. Giờ thì tất cả tiếng ồn trên hành tinh này sẽ gầm gừ... rồi im bặt.
6,1,당신은... 대체 뭐죠? 우리의 무대를 방해하지 마세요!,Who on earth are you? Don't interrupt our performance!,一体何者だ？私たちのパフォーマンスを邪魔するな！,你到底是谁？别打断我们的演出！,你到底是誰？別打斷我們的演出！,Кто вы вообще такой? Не прерывайте наше выступление!,Qui êtes-vous donc ? N'interrompez pas notre spectacle !,¿Quién demonios eres? ¡No interrumpas nuestra actuación!,Anh/chị là ai vậy? Đừng làm gián đoạn buổi biểu diễn của chúng tôi!
7,2,"그르르. 방해? 나는 크르르륵... 파괴하러 왔다. 네놈의 노래도, 네놈의 빛도, 그르릉... 곧 먼지가 되겠지.","Grrr. Disturbance? I Grrr... have come to destroy. Your song, your light, Grrr... will soon turn to dust.",うーん。騒ぎか？私はうーん…破壊しに来た。お前の歌、お前の光は、うーん…すぐに塵となるだろう。,咕噜。打扰了？我咕噜……前来毁灭。你的歌声，你的光芒，咕噜……很快就会化为尘埃。,咕嚕。打擾了？我咕嚕……前來毀滅。你的歌聲，你的光芒，咕嚕……很快就會化為塵埃。,"Гррр. Беспорядки? Я, Гррр... пришел разрушить. Твоя песня, твой свет, Гррр... скоро превратятся в прах.","Grrr. Perturbation ? Je suis venu pour détruire. Votre chant, votre lumière, bientôt... se réduiront en poussière.","Grrr. ¿Perturbación? Grrr... he venido a destruir. Tu canción, tu luz, Grrr... pronto se convertirán en polvo.","Grrr. Gây rối ư? Ta Grrr... đến để hủy diệt. Bài hát của ngươi, ánh sáng của ngươi, Grrr... sẽ sớm hóa thành tro bụi."
8,1,"절대 그럴 수 없어요. 이 무대는, 우리의 약속이니까.",We absolutely cannot do that. Because this stage is our promise.,それは絶対にできません。なぜなら、この段階は私たちの約束だからです。,我们绝对不能那样做。因为这个舞台就是我们的承诺。,我們絕對不能那樣做。因為這個舞台就是我們的承諾。,Мы категорически не можем этого сделать. Потому что этот этап — наше обещание.,Nous ne pouvons absolument pas faire cela. Car cette étape représente notre promesse.,No podemos hacer eso bajo ningún concepto. Porque esta etapa es nuestra promesa.,Chúng tôi tuyệt đối không thể làm vậy. Bởi vì sân khấu này chính là lời hứa của chúng tôi.
9,2,그르르르... 어리석은 인간이군. 고작 너 하나로 크르르륵... 무엇을 막겠다는 거냐.,"Grrr... What a foolish human. With just you, grrr... what do you expect to stop?",うーん…なんて愚かな人間だ。お前だけで、うーん…何を止められると思っているんだ？,啊……真是个愚蠢的人类。就凭你一个人，啊……你指望能阻止什么？,啊……真是個愚蠢的人類。就憑你一個人，啊……你指望能阻止什麼？,"Гррр... Какой же ты глупый человек. С тобой одним, гррр... чего ты ожидаешь, что это остановит?","Grrr... Quel imbécile ! Avec toi seul, grrr... qu'est-ce que tu crois pouvoir arrêter ?","Grrr... Qué humano tan tonto. Con solo tú, grrr... ¿qué esperas detener?","Grrr... Thật là một con người ngu ngốc. Chỉ với mình cậu thôi, grrr... cậu mong đợi điều gì sẽ ngăn cản được cậu chứ?"
10,1,"막을 수 없더라도, 시간을 벌 수는 있어. 당신이 파괴하려는 모든 것, 내 음악으로 지킬 거야.","Even if I can't stop it, I can buy time. I will protect everything you try to destroy with my music.",たとえ止められなくても、時間を稼ぐことはできる。君が破壊しようとするもの全てを、私の音楽で守る。,即使我无法阻止，我也可以争取时间。我会用我的音乐保护你试图摧毁的一切。,即使我無法阻止，我也可以爭取時間。我會用我的音樂保護你試圖摧毀的一切。,"Даже если я не смогу это остановить, я смогу выиграть время. Я защищу всё, что вы попытаетесь разрушить своей музыкой.","Même si je ne peux pas l'empêcher, je peux gagner du temps. Je protégerai tout ce que vous tenterez de détruire grâce à ma musique.","Aunque no pueda detenerlo, puedo ganar tiempo. Protegeré todo lo que intentes destruir con mi música.","Dù không thể ngăn chặn hoàn toàn, tôi vẫn có thể câu giờ. Tôi sẽ dùng âm nhạc của mình để bảo vệ mọi thứ mà các người đang cố gắng phá hủy."
