index,value,kor,English,Japanese,ChineseSimplified,ChineseTraditional,Russian,French,Spanish,Vietnamese
int,int,string,string,string,string,string,string,string,string,string
0,0,없음,doesn't exist,存在しない,不存在,不存在,не существует,n'existe pas,no existe,không tồn tại
1,1,공격력 <color=red>{0}%</color> 증가,Attack Power <color=red>{0}%</color> Increase,攻撃力 <color=red>{0}%</color>増加,攻击力提升 <color=red>{0}%</color>,攻擊力提升 <color=red>{0}%</color>,Увеличение силы атаки <color=red>{0}%</color>,Augmentation de la puissance d'attaque <color=red>{0}%</color>,Poder de ataque <color=red>{0}%</color> Aumentar,Tăng sức tấn công <color=red>{0}%</color>
2,1,체력 <color=red>{0}%</color> 증가,Increase HP <color=red>{0}%</color>,HPを増加させる <color=red>{0}%</color>,提升生命值 <color=red>{0}%</color>,提升生命值 <color=red>{0}%</color>,Увеличить HP <color=red>{0}%</color>,Augmenter les PV <color=red>{0}%</color>,Aumentar HP <color=red>{0}%</color>,Tăng HP <color=red>{0}%</color>
3,1,치명타 피해 <color=red>{0}%</color> 증가,Critical hit damage <color=red>{0}%</color> increase,クリティカルヒットダメージ <color=red>{0}%</color>増加,暴击伤害提升 <color=red>{0}%</color>,爆擊傷害提升 <color=red>{0}%</color>,Увеличение урона от критического удара на <color=red>{0}%</color>,Augmentation des dégâts critiques de <color=red>{0}%</color>,Incremento del daño por golpe crítico <color=red>{0}%</color>,Sát thương chí mạng tăng <color=red>{0}%</color>
4,1,보스 피해 <color=red>{0}%</color> 증가,Boss damage <color=red>{0}%</color> increase,ボスダメージ <color=red>{0}%</color>増加,Boss伤害提升0%。,Boss傷害提升0%。,Увеличение урона босса на <color=red>{0}%</color>,Augmentation des dégâts des boss de <color=red>{0}%</color>,Incremento del daño del jefe <color=red>{0}%</color>,Sát thương của Boss tăng <color=red>{0}%</color>
5,1,스킬 피해 <color=red>{0}%</color> 증가,Skill damage <color=red>{0}%</color> increase,スキルダメージ <color=red>{0}%</color>増加,技能伤害提升 <color=red>{0}%</color>,技能傷害提升 <color=red>{0}%</color>,Увеличение урона от навыков на <color=red>{0}%</color>,Augmentation des dégâts de compétence <color=red>{0}%</color>,Incremento del daño de habilidad <color=red>{0}%</color>,Sát thương kỹ năng tăng <color=red>{0}%</color>
6,1, 웨이브마다 <color=red>{0}거리</color> 만큼 <color=red>대쉬</color>\n<color=yellow>[이동속도 비례 속도 증가]</color>,Dash by <color=red>{0} distance every wave</color>\n<color=yellow>[Speed ​​increases proportionally to movement speed]</color>,各ウェーブごとに<color=red>{0}距離だけダッシュします</color>\n<color=yellow>[速度は移動速度に比例して増加します]</color>,每波冲刺 <color=red>{0} 距离</color>\n<color=yellow>[速度与移动速度成正比增加]</color>,每波衝刺 <color=red>{0} 距離</color>\n<color=yellow>[速度與移動速度成正比增加]</color>,Рывок на расстояние <color=red>{0} за каждую волну</color>\n<color=yellow>[Скорость увеличивается пропорционально скорости движения]</color>,Avance de <color=red>{0} distance à chaque vague</color>\n<color=yellow>[La vitesse augmente proportionnellement à la vitesse de déplacement]</color>,Recorre <color=red>{0} distancia en cada ola</color>\n<color=yellow>[La velocidad aumenta proporcionalmente a la velocidad de movimiento]</color>,Lướt đi một khoảng cách <color=red>{0} mỗi đợt</color>\n<color=yellow>[Tốc độ tăng tỷ lệ thuận với tốc độ di chuyển]</color>
7,1, <color=red>{0}%</color> 확률로 기절,<color=red>{0}%</color> chance of fainting,<color=red>{0}%</color>失神する可能性,晕厥的概率为 0%,暈厥的機率為 0%,<color=red>{0}%</color> вероятность обморока,<color=red>{0}%</color> chances de s'évanouir,<color=red>{0}%</color> probabilidad de desmayarse,<color=red>{0}%</color> khả năng ngất xỉu
8,2, <color=red>5초</color>마다 보호막 획득<color=red>(최대체력 {0}%)</color>,<color=red>Gain shield every 5 seconds<color=red>(Max HP {0}%)</color>,<color=red>5秒ごとにシールドを獲得<color=red>(最大HP {0}%)</color>,每 5 秒获得护盾（最大生命值 {0}%）,每 5 秒獲得護盾（最大生命值 {0}%）,<color=red>Восстанавливайте щит каждые 5 секунд<color=red>(Максимальное количество HP {0}%)</color>,<color=red>Gagnez du bouclier toutes les 5 secondes<color=red>(PV max {0}%)</color>,<color=red>Obtén un escudo cada 5 segundos<color=red>(PV máximo {0}%)</color>,<color=red>Nhận khiên mỗi 5 giây<color=red>(Máu tối đa {0}%)</color>
9,1, <color=red>{0}초</color>마다 체력 회복,Recover health every {0} seconds,{0}秒ごとに体力を回復する,每隔 {0} 秒恢复一次生命值,每隔 {0} 秒恢復一次生命值,Восстанавливайте здоровье каждые {0} секунд,Récupérez de la santé toutes les {0} secondes,Recuperar salud cada {0} segundos,Hồi phục sức khỏe sau mỗi {0} giây
