index,kor,English,Japanese,ChineseSimplified,ChineseTraditional,Russian,French,Spanish,Vietnamese
int,string,string,string,string,string,string,string,string,string
1,연습 모자,Practice cap,練習用キャップ,练习帽,練習帽,Тренировочная шапка,Casquette d'entraînement,gorra de práctica,Mũ tập luyện
2,데뷔 캡,Debut Cap,デビューキャップ,首发帽,先發帽,Дебютная кепка,Casquette de début,Gorra de debut,Mũ ra mắt
3,새싹 캡,Sprout Cap,芽キャベツ,豆芽盖,豆芽蓋,Крышка ростка,Coiffe germée,Tapa de brote,Mũ mầm
4,주니어 캡,Junior Cap,ジュニアキャップ,青年帽,青年帽,Младшая кепка,Casquette Junior,Gorra Junior,Mũ trẻ em
5,루키 캡,Rookie Cap,ルーキーキャップ,新秀帽,新秀帽,Кепка новичка,Casquette de recrue,Límite de novato,Mũ tân binh
6,인기 배레,Popular Barret,人気のバレット,热门巴雷特,熱門巴雷特,Популярный Баррет,Barret populaire,Barret popular,Barrett nổi tiếng
7,스팟 배레,Spot Barret,スポット・バレット,Spot Barret,Spot Barret,Пятнистый баррет,Spot Barrett,Spot Barret,Spot Barret
8,댄서 캡,Dancer Cap,ダンサーキャップ,舞者帽,舞者帽,Танцевальная шапка,Casquette de danseuse,Gorro de bailarina,Mũ vũ công
9,메인 모자,Main hat,メインハット,主帽,主帽,Главная шляпа,Chapeau principal,Sombrero principal,Mũ chính
10,비주얼 띠,Visual band,視覚バンド,视觉带,視覺帶,Визуальная полоса,Bande visuelle,banda visual,Dải thị giác
11,구름 모자,cloud hat,クラウドハット,云帽,雲帽,шляпа-облако,chapeau nuage,sombrero de nube,mũ mây
12,투어 모자,Tour hat,ツアーハット,旅游帽,觀光帽,Турнирная шляпа,Tour chapeau,Sombrero de gira,Mũ du lịch
13,골든 캡,Golden Cap,ゴールデンキャップ,金帽,金帽,Золотая шапка,Bonnet d'or,Gorro dorado,Mũ vàng
14,스카이 탭,Sky Tab,スカイタブ,天空标签,天空標籤,Sky Tab,Sky Tab,Sky Tab,Máy tính bảng Sky
15,핑키 캡,Pinky Cap,ピンキーキャップ,粉红帽,粉紅帽,Кепка на мизинце,Bonnet rose,Gorro de meñique,Mũ hồng
16,퓨어 띠,Pure Tti,ピュアTti,纯Tti,純Tti,Чистый Тти,Pure Tti,Tti puro,Pure Tti
17,스타 배레,Star Barre,スターバール,星巴雷,星巴雷,Стар Барре,Barre d'étoiles,Barra de estrellas,Star Barre
18,플라워 캡,Flower Cap,フラワーキャップ,花帽,花帽,Цветочная шапка,Chapeau de fleur,Gorro de flor,Mũ hoa
