idx,Korean,English,Japanese,ChineseSimplified,ChineseTraditional,Russian,French,Spanish,Vietnamese
int,string,string,string,string,string,string,string,string,string
1,기본적인 재화로 <color=yellow>장비 강화</color>에 주로 사용,Used primarily for <color=yellow>equipment enhancement</color> as a basic resource,主に<color=yellow>機器強化</color>の基本リソースとして使用されます,主要用于装备强化，作为一种基础资源,主要用於裝備強化，作為一種基礎資源,Используется преимущественно для <color=yellow>модернизации оборудования</color> в качестве базового ресурса.,Utilisé principalement pour l'amélioration des équipements en tant que ressource de base,Se utiliza principalmente para la <color=yellow>mejora de equipos</color> como recurso básico.,Được sử dụng chủ yếu để <color=yellow>nâng cấp thiết bị</color> như một nguồn tài nguyên cơ bản
2,파란 보석으로 주로 <color=yellow>뽑기</color>에 사용,Mainly used for <color=yellow>gacha</color> with blue gems,主に青い宝石を使った<color=yellow>ガチャ</color>に使用されます,主要用于带有蓝色宝石的扭蛋机,主要用於有藍色寶石的扭蛋機,В основном используется для <color=yellow>гача</color> с синими самоцветами.,Principalement utilisé pour les jeux <color=yellow>gacha</color> avec des gemmes bleues,Se utiliza principalmente para <color=yellow>gacha</color> con gemas azules,Chủ yếu được sử dụng cho <color=yellow>gacha</color> với đá quý màu xanh lam
3,"인앱 구매로 획득 가능하고, <color=yellow>각종 특수 강화</color>등 다양하게 사용","It can be obtained through in-app purchases and used in various ways, such as <color=yellow>various special enhancements</color>.",アプリ内課金で入手でき、さまざまな特別な機能強化など、さまざまな方法で使用できます。,可以通过应用内购买获得，并以各种方式使用，例如<color=yellow>各种特殊增强功能</color>。,可透過應用程式內購買取得，並以各種方式使用，例如<color=yellow>各種特殊增強功能</color>。,"Его можно получить посредством внутриигровых покупок и использовать различными способами, например, для <color=yellow>различных специальных улучшений</color>.","Il peut être obtenu via des achats intégrés et utilisé de diverses manières, telles que <color=yellow>diverses améliorations spéciales</color>.","Se puede obtener mediante compras dentro de la aplicación y utilizarse de diversas maneras, como <color=yellow>diversas mejoras especiales</color>.","Nó có thể được mua thông qua giao dịch mua trong ứng dụng và được sử dụng theo nhiều cách khác nhau, chẳng hạn như <color=yellow>các tính năng nâng cao đặc biệt</color>."
4,소환서,Summoning Scroll,召喚の巻物,召唤卷轴,召喚捲軸,Свиток призыва,Parchemin d'invocation,Pergamino de invocación,Cuộn giấy triệu hồi
5,금열쇠,Golden Key,ゴールデンキー,金钥匙,金鑰匙,Золотой ключ,Clé d'or,Llave de oro,Chìa khóa vàng
6,은열쇠,silver key,銀の鍵,银钥匙,銀鑰匙,серебряный ключ,clé d'argent,llave plateada,chìa khóa bạc
7,빨간포션,red potion,赤い薬,红色药水,紅色藥水,красное зелье,potion rouge,poción roja,thuốc đỏ
8,"스테이지 및 던전에서 획득 가능하고 공격력, 체력등 <color=yellow>능력치 강화</color>에 사용","Obtainable from stages and dungeons, used to enhance <color=yellow>stats such as Attack Power, Health, etc.",ステージやダンジョンで入手でき、攻撃力、体力などのステータスを強化するために使用されます。,可通过关卡和地牢获得，用于增强攻击力、生命值等属性。,可透過關卡和地牢取得，用於增強攻擊力、生命值等屬性。,"Получается на этапах и в подземельях, используется для улучшения таких характеристик, как сила атаки, здоровье и т. д.","Obtenu dans les niveaux et les donjons, utilisé pour améliorer les <color=yellow>stats telles que la puissance d'attaque, la santé, etc.","Se puede obtener en etapas y mazmorras, y se utiliza para mejorar estadísticas como el poder de ataque, la salud, etc.","Có thể nhận được từ các màn chơi và hầm ngục, dùng để tăng cường các chỉ số như Sức tấn công, Máu, v.v."
9,보라포션,Purple Potion,紫色のポーション,紫色药水,紫色藥水,Фиолетовое зелье,Potion violette,Poción púrpura,Thuốc màu tím
10,파란포션,Blue Potion,青い薬,蓝色药水,藍色藥水,Синее зелье,Potion bleue,Poción azul,Thuốc màu xanh
11,스테이지 및 던전에서 획득 가능하고 <color=yellow>동료 강화</color>에 사용,Obtainable from stages and dungeons and used to <color=yellow>enhance companions</color>,ステージやダンジョンで入手でき、仲間を強化するために使用されます。,可通过关卡和地牢获得，用于强化伙伴。,可透過關卡和地牢獲得，用於強化夥伴。,Получается на этапах и в подземельях и используется для улучшения компаньонов.,"Obtenu dans les niveaux et les donjons, et utilisé pour <color=yellow>améliorer les compagnons</color>",Se puede obtener en fases y mazmorras y se utiliza para <color=yellow>mejorar a los compañeros</color>,"Có thể nhận được từ các màn chơi và hầm ngục, dùng để <color=yellow>tăng cường sức mạnh cho đồng đội</color>"
12,레벨업과 각종 컨텐츠로 획득 가능하고 <color=yellow>마스터리</color> 올릴 때 사용,"Obtainable through leveling up and various content, and used to increase <color=yellow>Mastery</color>",レベルアップや様々なコンテンツを通じて入手でき、<color=yellow>熟練度</color>を上げるために使用されます。,可通过升级和完成各种内容获得，用于提升精通等级。,可透過升級和完成各種內容獲得，用於提升精通等級。,Получается по мере повышения уровня и прохождения различного контента и используется для повышения уровня мастерства.,"Obtenu en gagnant des niveaux et en participant à divers contenus, et utilisé pour augmenter la <color=yellow>Maîtrise</color>","Se obtiene subiendo de nivel y mediante diversos contenidos, y se utiliza para aumentar la <color=yellow>Maestría</color>.","Có thể nhận được thông qua việc lên cấp và nhiều nội dung khác nhau, và được dùng để tăng <color=yellow>Thành thạo</color>"
13,주머니,pocket,ポケット,口袋,口袋,карман,poche,bolsillo,túi
14,스킬 판매와 던전에서 획득 가능하고 <color=yellow>스킬 초월</color> 및 <color=yellow>강화</color>에 사용,"Obtainable from selling skills and dungeons, and used for <color=yellow>Skill Transcendence</color> and <color=yellow>Enhancement</color>",スキルやダンジョンを売却することで入手でき、<color=yellow>スキル超越</color>と<color=yellow>強化</color>に使用されます。,可通过出售技能和副本获得，用于<color=yellow>技能超越</color>和<color=yellow>强化</color>。,可透過出售技能和副本獲得，用於<color=yellow>技能超越</color>和<color=yellow>強化</color>。,"Можно получить, продавая навыки и проходя подземелья, и использовать для <color=yellow>Превосходства навыков</color> и <color=yellow>Улучшения</color>.","Obtenu en vendant des compétences et en terminant des donjons, et utilisé pour la <color=yellow>transcendance des compétences</color> et l'<color=yellow>amélioration</color>","Se puede obtener vendiendo habilidades y en mazmorras, y se utiliza para <color=yellow>Trascendencia de habilidad</color> y <color=yellow>Mejora</color>.","Có thể nhận được bằng cách bán kỹ năng và hoàn thành hầm ngục, và được dùng để <color=yellow>Nâng cấp kỹ năng</color> và <color=yellow>Tăng cường</color>"
15,고기,meat,肉,肉,肉,мясо,viande,carne,thịt
